date,diff
27:25.6,56
27:25.8,156
27:25.8,145
27:25.9,47
27:26.0,117
27:26.1,48
27:26.1,16
27:26.1,217
27:26.2,192
27:26.2,138
27:26.2,130
27:26.3,52
27:26.3,13
27:26.4,216
27:26.5,89
27:26.5,40
27:26.6,28
27:26.6,262
27:26.7,141
27:26.8,103
27:26.8,79
27:26.9,226
27:26.9,174
27:27.0,102
27:27.0,73
27:27.0,31
27:27.1,158
27:27.2,123
27:27.2,79
27:27.4,155
27:27.4,93
27:27.5,41
27:27.6,100
27:27.7,67
27:27.8,185
27:27.9,86
27:28.0,259
27:28.0,163
27:28.1,132
27:28.1,103
27:28.1,53
27:28.1,98
27:28.1,32
27:28.2,222.33333
27:28.2,220
27:28.3,143
27:28.3,103
27:28.4,81
27:28.5,176
27:28.5,128
27:28.6,79
27:28.7,181
27:28.8,143
27:28.8,128
27:28.8,97
27:28.9,42
27:28.9,212
27:29.0,139
27:29.0,110
27:29.1,222
27:29.1,196
27:29.2,163
27:29.2,117
27:29.3,27
27:29.4,133
27:29.5,78
27:29.6,219
27:29.6,187
27:29.7,154
27:29.8,59
27:29.9,175
27:29.9,147
27:30.0,75
27:30.0,27
27:30.1,179
27:30.1,148
27:30.1,120
27:30.2,59
27:30.2,39
27:30.2,34
27:30.3,173
27:30.3,141
27:30.4,122
27:30.5,170
27:30.6,158
27:30.6,112
27:30.7,212
27:30.8,170
27:30.8,159
27:30.8,128
27:30.9,73
27:30.9,19
27:31.0,218
27:31.1,80.5
27:31.1,54
27:31.2,21
27:31.2,188
27:31.2,178
27:31.3,99
27:31.4,208
27:31.5,156
27:31.6,76
27:31.6,17
27:31.7,195
27:31.7,182
27:31.8,79
27:31.9,207
27:31.9,178
27:32.0,108
27:32.0,58
27:32.0,29
27:32.1,206
27:32.2,85
27:32.2,65
27:32.2,62.5
27:32.3,195
27:32.3,168
27:32.4,155
27:32.5,186
27:32.6,173
27:32.6,139
27:32.7,218
27:32.8,190.5
27:32.8,155
27:32.9,97
27:32.9,46
27:33.1,48
27:33.1,48
27:33.1,55
27:33.1,28
27:33.2,216
27:33.2,158
27:33.2,161
27:33.3,84
27:33.4,190
27:33.5,143
27:33.5,121
27:33.6,59
27:33.6,266
27:33.7,229
27:33.7,211
27:33.8,134
27:33.8,114
27:33.9,221
27:33.9,216
27:33.9,201
27:34.0,131
27:34.0,96
27:34.0,82
27:34.0,54
27:34.2,102
27:34.2,81
27:34.3,215
27:34.4,182
27:34.5,215
27:34.6,200
27:34.6,120
27:34.8,227
27:34.8,219
27:34.8,215
27:34.8,184
27:34.9,126
27:35.0,272
27:35.1,129
27:35.1,123.5
27:35.1,131
27:35.1,101
27:35.2,104
27:35.3,215.5
27:35.3,157
27:35.4,99
27:35.4,48
27:35.5,193
27:35.6,132
27:35.6,66
27:35.7,32
27:35.7,15
27:35.7,187
27:35.8,148
27:35.8,126
27:35.9,20
27:35.9,225
27:36.0,154
27:36.0,144
27:36.0,121
27:36.0,79
27:36.1,34
27:36.2,129
27:36.2,120
27:36.2,107
27:36.4,250
27:36.6,221
27:36.6,190
27:36.8,66.333336
27:36.8,62
27:36.8,32
27:37.0,63
27:37.1,190
27:37.1,159
27:37.1,161
27:37.1,146
27:37.1,154
27:37.1,160
27:37.1,124
27:37.2,49
27:37.2,51
27:37.3,26.5
27:37.3,186
27:37.3,182
27:37.3,150
27:37.4,130
27:37.5,226
27:37.6,168
27:37.6,126
27:37.6,102
27:37.7,68
27:37.7,267
27:37.8,233
27:37.8,208
27:37.9,105
27:37.9,84
27:37.9,78
27:38.0,224
27:38.0,210
27:38.0,164
27:38.1,120
27:38.2,33
27:38.2,221
27:38.2,208
27:38.3,99
27:38.4,73
27:38.5,172
27:38.6,37
27:38.7,213
27:38.8,109
27:38.8,99
27:38.9,206
27:39.0,107
27:39.0,75
27:39.1,280
27:39.1,250
27:39.1,241
27:39.1,244
27:39.1,210
27:39.2,137
27:39.2,140
27:39.3,114.5
27:39.4,213.66667
27:39.4,212
27:39.4,150
27:39.5,86
27:39.6,42
27:39.6,28
27:39.6,206
27:39.7,150
27:39.7,82
27:39.8,49
27:39.8,26
27:39.9,159
27:39.9,136
27:39.9,107
27:40.0,25
27:40.0,225
27:40.0,194
27:40.1,152
27:40.2,98
27:40.2,64
27:40.2,21
27:40.3,128
27:40.4,104
27:40.4,38
27:40.5,255
27:40.6,165
27:40.7,73
27:40.7,61
27:40.8,189
27:40.8,176
27:40.9,66
27:41.0,209
27:41.0,194
27:41.0,159
27:41.1,83
27:41.1,53
27:41.1,52
27:41.1,42
27:41.2,19
27:41.2,165
27:41.2,163.5
27:41.3,134
27:41.4,26
27:41.4,20
27:41.4,29
27:41.4,174
27:41.5,110
27:41.6,66
27:41.6,17
27:41.7,149
27:41.7,108
27:41.8,74
27:41.8,59
27:41.8,32
27:41.9,241
27:41.9,217
27:41.9,191
27:42.0,106
27:42.0,76
27:42.1,220
27:42.1,194
27:42.2,168
27:42.2,139
27:42.2,96
27:42.3,208
27:42.4,112
27:42.5,57
27:42.6,195
27:42.6,147
27:42.7,104
27:42.7,92
27:42.8,207
27:42.8,166
27:42.9,97
27:42.9,78
27:43.0,223
27:43.0,220
27:43.0,187
27:43.1,108
27:43.1,78
27:43.2,47
27:43.2,265
27:43.2,237
27:43.2,237
27:43.4,80
27:43.4,97.5
27:43.5,217
27:43.6,139
27:43.6,89
27:43.6,67
27:43.7,229
27:43.7,184
27:43.8,148
27:43.8,138
27:43.8,112
27:43.9,49
27:43.9,217
27:43.9,220
27:44.0,137
27:44.1,32
27:44.1,222.5
27:44.2,208
27:44.2,171
27:44.2,132
27:44.3,106
27:44.3,26
27:44.4,144
27:44.5,95
27:44.6,17
27:44.6,209
27:44.6,214
27:44.7,182
27:44.7,120
27:44.8,63
27:44.8,211
27:44.9,179
27:44.9,162
27:45.0,81
27:45.0,47
27:45.0,17
27:45.1,207
27:45.1,184
27:45.2,67
27:45.2,46
27:45.2,43
27:45.2,44
27:45.4,138
27:45.4,129.5
27:45.4,125
27:45.5,29
27:45.6,174
27:45.6,125
27:45.6,105
27:45.7,36
27:45.8,178
27:45.8,144
27:45.9,81
27:45.9,26
27:45.9,32
27:46.1,84
27:46.1,33
27:46.1,54
27:46.2,224
27:46.2,223
27:46.3,180
